"Time","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/09/2020,        42.0,      1,        42.4,      1,        17.3,      1,         5.2,      1,        30.2,      1,        80.9,    145,          27,    145,         0.7,    145,       956.6,      1,    434120.8,      1
00:00:00 01/10/2020,       241.2,      1,       241.3,      1,        10.1,      1,         1.2,      1,        21.2,      1,        88.3,    145,           5,    145,         0.6,    145,       954.9,      1,    228720.9,      1
00:00:00 01/11/2020,         5.2,      1,         5.1,      1,         5.9,      1,        -2.4,      1,        19.7,      1,        85.1,    145,         347,    145,         0.4,    145,       964.6,      1,    136163.1,      1
00:00:00 01/12/2020,       343.2,      1,       343.2,      1,         1.4,      1,        -5.8,      1,         7.6,      1,        96.8,    145,         352,    145,         0.5,    145,       951.8,      1,     47818.7,      1
00:00:00 01/01/2021,       140.6,      1,       140.5,      1,        -1.7,      1,"",    151,         9.6,      1,        90.3,    145,         327,    145,         0.5,    145,       951.9,      1,     87672.9,      1
00:00:00 01/02/2021,        43.6,      1,        43.7,      1,         4.0,      1,        -7.1,      1,        20.3,      1,        77.7,    145,         336,    145,         0.6,    145,       959.7,      1,    195826.8,      1
00:00:00 01/03/2021,         8.6,      1,         8.6,      1,         7.1,      1,        -3.7,      1,        26.8,      1,        57.3,    145,         338,    145,         0.9,    145,       959.4,      1,    429082.5,      1
00:00:00 01/04/2021,        82.4,      1,        82.0,      1,         9.8,      1,        -2.5,      1,        26.8,    140,        59.9,    145,          66,    145,         1.0,    145,       955.7,      1,    516891.4,      1
00:00:00 01/05/2021,       188.0,      1,       188.4,      1,        14.0,      1,         5.4,      1,        27.6,    140,        68.2,    145,          99,    145,         1.0,    145,       953.1,      1,    654504.7,      1
00:00:00 01/06/2021,        47.8,      1,        47.0,      1,        21.4,      1,        11.5,      1,        34.5,      1,        66.0,    145,          73,    145,         0.9,    145,       956.9,      1,    765414.2,      1
00:00:00 01/07/2021,       249.2,      1,       255.8,      1,        21.2,      1,        11.9,      1,        32.7,      1,        73.7,    145,          79,    145,         0.8,    145,       954.6,      1,    668236.2,      1
00:00:00 01/08/2021,       104.2,      1,        97.9,      1,        20.2,      1,         9.4,      1,        34.8,      1,        73.5,    145,          68,    145,         0.8,    145,       955.1,      1,    651307.8,      1
00:00:00 01/09/2021,        44.0,      1,        44.5,      1,        17.8,      1,         9.4,      1,        29.9,      1,        75.6,    145,          45,    145,         0.7,    145,       959.0,      1,    445718.5,      1
00:00:00 01/10/2021,        69.0,      1,        69.1,      1,        10.6,      1,         1.5,      1,        23.7,      1,        80.5,    145,          28,    145,         0.6,    145,       960.2,      1,    242208.7,      1
00:00:00 01/11/2021,       179.4,      1,       179.3,      1,         5.9,      1,        -2.9,      1,        16.4,      1,        88.3,    145,         329,    145,         0.5,    145,       955.1,      1,     94531.4,      1
00:00:00 01/12/2021,        18.8,      1,        18.8,      1,         1.2,      1,        -5.1,      1,        13.0,      1,        82.0,    145,         347,    145,         0.5,    145,       955.5,      1,     61022.4,      1
00:00:00 01/01/2022,        18.4,      1,        18.4,      1,         1.9,      1,        -5.0,      1,        17.6,      1,        67.0,    145,         344,    145,         0.6,    145,       961.8,      1,    105005.7,      1
00:00:00 01/02/2022,        35.8,      1,        35.8,      1,         4.1,      1,        -4.5,      1,        17.8,      1,        61.6,    145,         331,    145,         0.9,    145,       959.2,      1,    185969.4,      1
00:00:00 01/03/2022,         3.2,      1,         8.7,      1,         6.8,      1,        -3.2,      1,        23.2,      1,        54.6,    145,          43,    145,         0.8,    145,       962.8,      1,    373652.0,      1
00:00:00 01/04/2022,        60.4,      1,        54.0,      1,        10.8,      1,         0.5,      1,        26.2,      1,        64.3,    145,          64,    145,         1.0,    145,       952.2,      1,    497127.0,      1
00:00:00 01/05/2022,       115.4,      1,       116.3,      1,        17.4,      1,         6.5,      1,        31.1,      1,        74.2,    145,          61,    145,         0.8,    145,       957.3,      1,    622667.2,      1
00:00:00 01/06/2022,        70.8,      1,        70.8,      1,        21.9,      1,        10.8,      1,        34.3,      1,        68.2,    145,          48,    145,         0.8,    145,       956.0,      1,    716322.5,      1
00:00:00 01/07/2022,       133.6,      1,       133.6,      1,        24.3,      1,        12.8,      1,        38.6,      1,        59.3,    145,          79,    145,         1.0,    145,       958.0,      1,    837253.6,      1
00:00:00 01/08/2022,       132.2,      1,       132.1,      1,        21.8,      1,        12.4,      1,        35.9,      1,        69.7,    145,          59,    145,         0.8,    145,       955.6,      1,    657425.5,      1
00:00:00 01/09/2022,        87.8,      1,        84.3,      1,        16.5,      1,         5.4,      1,        30.4,      1,        76.7,    145,          44,    145,         0.7,    145,       953.6,      1,    425785.1,      1
00:00:00 01/10/2022,        58.8,      1,        62.2,      1,        13.8,      1,         6.9,      1,        25.7,      1,        83.8,    145,         352,    145,         0.5,    145,       962.5,      1,    239486.7,      1
00:00:00 01/11/2022,       101.4,      1,       101.5,      1,         6.5,      1,        -1.9,      1,        17.7,      1,        84.6,    145,         340,    145,         0.5,    145,       956.5,      1,    107379.6,      1
00:00:00 01/12/2022,        84.6,      1,        84.6,      1,         1.3,      1,        -7.3,      1,         9.6,      1,        91.8,    145,         338,    145,         0.4,    145,       956.9,      1,     59333.3,      1
00:00:00 01/01/2023,        59.2,      1,        59.2,      1,         2.1,      1,        -4.2,      1,        12.6,      1,        83.6,    145,         346,    145,         0.5,    145,       956.8,      1,     85852.8,      1
00:00:00 01/02/2023,         0.0,      1,         0.0,      1,         4.4,      1,        -6.3,      1,        18.3,      1,        66.8,    145,         358,    145,         0.7,    145,       964.0,      1,    182193.9,      1
00:00:00 01/03/2023,        15.2,      1,        15.2,      1,         8.8,      1,        -1.6,      1,        22.5,      1,        66.3,    145,          18,    145,         1.0,    145,       952.4,      1,    346528.9,      1
00:00:00 01/04/2023,        57.8,      1,        57.9,      1,        10.6,      1,        -0.6,      1,        24.0,      1,        64.9,    145,          54,    145,         1.0,    145,       952.9,      1,    478286.4,      1
00:00:00 01/05/2023,       204.4,      1,       204.2,      1,        14.9,      1,         7.1,      1,        29.0,      1,        80.1,    145,          59,    145,         0.7,    145,       955.8,      1,    488691.2,      1
00:00:00 01/06/2023,        47.8,      1,        49.1,      1,        20.5,      1,        11.2,      1,        34.5,      1,        71.1,    145,          73,    145,         0.9,    145,       955.5,      1,    729796.2,      1
00:00:00 01/07/2023,       207.2,      1,       212.7,      1,        21.9,      1,        10.8,      1,        36.0,      1,        74.8,    145,          67,    145,         0.8,    145,       955.5,      1,    745244.0,      1
00:00:00 01/08/2023,        85.2,      1,        78.4,      1,        22.1,      1,        10.5,      1,        37.2,      1,        72.1,    145,          59,    145,         0.8,    145,       954.7,      1,    636846.4,      1
00:00:00 01/09/2023,        56.2,      1,        56.2,      1,        18.9,      1,         8.0,      1,        31.3,      1,        77.3,    145,          39,    145,         0.7,    145,       959.1,      1,    438881.5,      1
00:00:00 01/10/2023,       205.0,      1,       205.0,      1,        14.2,      1,         3.1,      1,        28.6,      1,        83.7,    145,          27,    145,         0.7,    145,       955.0,      1,    229295.1,      1
00:00:00 01/11/2023,       110.8,      1,       115.6,      1,         4.7,      1,        -2.5,      1,        18.5,    140,        80.3,    145,         318,    145,         0.7,    145,       950.3,      1,    109876.5,      1
00:00:00 01/12/2023,        62.6,      1,        55.0,      1,         2.8,      1,        -4.2,      1,        15.5,    140,        81.6,    145,         321,    145,         0.6,    145,       957.0,      1,     66720.2,      1
00:00:00 01/01/2024,        69.8,      1,        72.5,      1,         1.6,      1,        -5.8,      1,        16.9,      1,        79.4,    145,         336,    145,         0.5,    145,       958.9,      1,    102285.0,      1
00:00:00 01/02/2024,       121.4,      1,       122.5,      1,         6.3,      1,        -1.8,      1,        19.6,      1,        79.9,    145,          23,    145,         0.7,    145,       955.8,      1,    156524.2,      1
00:00:00 01/03/2024,       149.6,      1,       155.3,      1,         8.6,      1,         0.0,      1,        21.7,      1,        79.4,    145,          57,    145,         1.0,    145,       951.5,      1,    272727.9,      1
00:00:00 01/04/2024,        63.6,      1,        56.8,      1,        11.9,      1,         1.2,      1,        30.2,      1,        67.0,    145,          42,    145,         0.9,    145,       955.4,      1,    462889.5,      1
00:00:00 01/05/2024,       253.6,      1,       250.3,      1,        14.7,      1,         6.5,      1,        27.9,      1,        79.6,    145,          64,    145,         0.7,    145,       953.8,      1,    473453.3,      1
00:00:00 01/06/2024,       173.2,      1,       176.5,      1,        19.6,      1,         8.6,      1,        33.2,      1,        75.2,    145,          66,    145,         0.7,    145,       954.4,      1,    628678.0,      1
00:00:00 01/07/2024,       109.2,      1,       109.2,      1,        23.1,      1,        13.5,      1,        34.8,      1,        71.6,    145,          53,    145,         0.8,    145,       955.0,      1,    757806.9,      1
00:00:00 01/08/2024,        61.6,      1,        61.6,      1,        23.2,      1,        15.5,      1,        35.9,      1,        72.5,    145,          32,    145,         0.6,    145,       955.7,      1,    617520.9,      1
00:00:00 01/09/2024,       213.0,      1,       213.0,      1,        16.2,      1,         7.0,      1,        32.0,      1,        74.1,    145,         180,    145,         1.0,    145,       954.6,      1,    296884.1,      1
00:00:00 01/10/2024,       286.6,      1,       286.7,      1,        12.8,      1,         6.1,      1,        22.9,      1,        89.1,    145,         180,    145,         0.4,    145,       958.9,      1,    165498.6,      1
00:00:00 01/11/2024,         6.4,      1,         6.3,      1,         5.0,      1,        -3.2,      1,        19.9,      1,        78.0,    145,         180,    145,         0.4,    145,       961.7,      1,    126886.8,      1
00:00:00 01/12/2024,        40.8,      1,        40.8,      1,         1.8,      1,        -3.9,      1,        12.0,      1,        74.5,    145,         180,    145,         0.7,    145,       961.7,      1,     70788.0,      1
00:00:00 01/01/2025,        51.2,      1,        51.2,      1,         2.1,      1,        -4.9,      1,        13.6,      1,        80.3,    145,         180,    145,         0.6,    145,       959.5,      1,     90243.9,      1
00:00:00 01/02/2025,        35.0,      1,        35.0,      1,         4.2,      1,        -2.6,      1,        16.2,      1,        80.8,    145,         180,    145,         0.5,    145,       962.8,      1,    165771.6,      1
00:00:00 01/03/2025,        94.4,    145,"",    255,         8.4,    145,"",    255,"",    255,        70.2,    145,         180,    145,         0.8,    145,       955.1,    145,    340361.5,    145
