"Time","T0065","","T0065","","T0065","","T0065","","T0065","","T0065","","T0065","","T0065",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual"
00:00:00 01/05/2023,       132.0,      1,       132.0,      1,         2.1,      1,        -5.1,      1,        12.1,    140,"",    255,          82,    140,         1.4,      1
00:00:00 01/06/2023,       112.8,      1,       107.6,      1,         7.6,      1,         1.0,      1,        19.9,      1,"",    255,          82,    140,         1.7,      1
00:00:00 01/07/2023,       146.6,      1,       152.4,      1,         9.7,      1,         0.6,      1,        19.9,      1,"",    255,          83,    140,         1.7,      1
00:00:00 01/08/2023,       166.2,      1,       165.4,      1,         9.6,      1,        -0.6,      1,        20.7,      1,"",    255,          62,    140,         1.7,    140
00:00:00 01/09/2023,        69.6,      1,        69.6,      1,         8.6,      1,        -1.1,      1,        17.7,      1,"",    255,          13,    140,         0.3,    140
00:00:00 01/10/2023,       124.6,      1,       124.6,      1,         4.3,      1,        -4.2,      1,        14.8,      1,"",    255,           7,    140,         0.1,    140
00:00:00 01/11/2023,        78.8,      1,        80.5,      1,        -4.5,      1,       -16.0,      1,         6.1,    140,"",    255,         360,    140,         0.0,    140
00:00:00 01/12/2023,        94.0,     90,        91.4,     90,        -3.4,      1,       -15.0,      1,         6.4,    140,"",    255,         357,    140,         0.2,    140
00:00:00 01/01/2024,        30.6,      1,        31.5,      1,        -4.7,      1,       -18.3,    140,         5.0,    140,"",    255,           8,    140,         0.0,    140
00:00:00 01/02/2024,        54.4,      1,        58.0,      1,        -3.1,      1,       -13.9,    140,         9.0,    140,"",    255,           1,    140,         0.0,    140
00:00:00 01/03/2024,       137.2,      1,       140.2,      1,        -4.2,      1,       -14.1,      1,        10.0,    140,"",    255,           0,    140,         0.1,    140
00:00:00 01/04/2024,        39.4,      1,        32.7,      1,        -2.3,      1,       -12.5,      1,        10.5,    140,"",    255,           1,    140,         0.0,    140
00:00:00 01/05/2024,       181.6,      1,       181.3,      1,         1.3,      1,        -5.8,      1,        11.9,    140,"",    255,           1,    140,         0.0,    140
00:00:00 01/06/2024,       165.8,      1,       166.1,      1,         6.2,      1,        -1.8,      1,        17.4,    140,"",    255,           0,    140,         0.0,    140
00:00:00 01/07/2024,        41.8,      1,        41.6,      1,        10.3,      1,         1.5,      1,        20.9,      1,"",    255,           0,    140,         0.0,    140
00:00:00 01/08/2024,        47.6,      1,        48.2,      1,        11.5,      1,         5.7,      1,        20.3,      1,"",    255,         359,    140,         0.2,    140
00:00:00 01/09/2024,       176.6,      1,       176.1,      1,         3.7,      1,        -5.1,      1,        14.2,      1,"",    255,         303,      1,         2.4,      1
00:00:00 01/10/2024,       146.4,      1,       146.4,      1,         2.6,      1,        -4.4,      1,        12.0,      1,"",    255,         310,      1,         1.3,      1
00:00:00 01/11/2024,        11.0,      1,        11.0,      1,        -0.9,      1,       -15.4,      1,        13.3,      1,"",    255,         346,      1,         1.8,      1
00:00:00 01/12/2024,        52.0,    140,        52.0,    140,        -4.5,      1,       -14.6,      1,         5.8,      1,"",    255,          35,      1,         2.9,      1
00:00:00 01/01/2025,        14.4,    140,        14.4,    140,        -5.7,      1,       -13.6,    140,         2.8,      1,"",    255,         343,      1,         2.4,      1
00:00:00 01/02/2025,         4.2,    140,         4.2,    140,"",    255,       -13.5,      1,         4.1,    140,"",    255,"",    255,"",    255
00:00:00 01/03/2025,        39.8,    145,"",    255,        -4.3,    145,"",    255,"",    255,"",    255,          20,    145,         1.8,    145
