"Time","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/12/2023,        76.0,      1,        73.5,      1,         0.0,      1,        -7.5,      1,        16.0,      1,        85.6,    145,           0,    140,         0.0,    140,       906.9,      1,     46138.4,    145
00:00:00 01/01/2024,        42.8,      1,        46.0,      1,        -1.6,      1,       -11.1,      1,         9.0,      1,        87.3,    145,         359,    145,         0.1,    145,       908.5,      1,     68026.0,    145
00:00:00 01/02/2024,       125.2,      1,       129.7,      1,         2.8,      1,        -3.4,      1,        14.5,      1,        82.7,    145,           2,    140,         0.9,    145,       906.0,      1,    172377.4,    145
00:00:00 01/03/2024,       157.0,      1,       167.1,      1,         4.4,      1,        -3.7,      1,        17.4,      1,        82.4,    145,           3,    140,         1.2,    145,       902.2,      1,    316473.3,    145
00:00:00 01/04/2024,        63.8,      1,        49.5,      1,         8.7,      1,        -3.4,      1,        25.1,      1,        67.7,    145,         246,    145,         1.6,    145,       906.2,      1,    501089.1,    145
00:00:00 01/05/2024,       174.4,      1,       169.4,      1,        12.0,      1,         4.7,      1,        22.3,      1,        80.6,    145,         163,    145,         1.4,    145,       904.9,      1,    495427.7,    145
00:00:00 01/06/2024,       138.4,      1,       143.0,      1,        16.3,      1,         6.5,      1,        29.0,      1,        78.3,    145,         225,    145,         1.6,    145,       906.4,      1,    604101.9,    145
00:00:00 01/07/2024,        56.4,      1,        56.4,      1,        19.7,      1,         8.8,      1,        30.4,      1,        76.1,    145,         217,    145,         1.7,    145,       907.4,      1,    694771.6,    145
00:00:00 01/08/2024,        54.0,      1,        52.9,      1,        20.0,      1,        11.6,      1,        30.7,      1,        75.2,    145,         221,    145,         1.5,    145,       908.2,      1,    580506.3,    145
00:00:00 01/09/2024,       146.4,      1,       147.5,      1,        12.9,      1,         2.9,      1,        27.8,      1,        82.2,    145,         213,    145,         1.1,    145,       906.5,      1,    335140.5,    145
00:00:00 01/10/2024,       186.8,      1,       186.9,      1,         9.8,      1,         2.8,      1,        17.3,      1,        92.0,    145,         217,    145,         0.9,    145,       910.1,      1,    210615.7,    145
00:00:00 01/11/2024,         7.8,      1,         7.7,      1,         1.8,      1,        -9.2,      1,        13.9,      1,        83.2,    145,         226,    145,         0.9,    145,       911.8,      1,    111759.2,    145
00:00:00 01/12/2024,        28.0,      1,        28.0,      1,        -1.5,      1,        -8.1,      1,         5.7,      1,        84.1,    145,         234,    145,         0.9,    145,       911.4,      1,     37123.6,    145
00:00:00 01/01/2025,        74.0,      1,        73.9,      1,        -1.4,      1,        -9.8,      1,         4.5,      1,        87.4,    145,         228,    145,         0.9,    145,       908.9,      1,     68179.7,    145
00:00:00 01/02/2025,        23.8,      1,        25.4,      1,         1.1,      1,        -5.6,      1,        11.4,      1,        84.5,    145,         211,    145,         1.0,    145,       912.1,      1,    214408.7,    145
00:00:00 01/03/2025,        79.4,      1,        77.9,      1,         5.0,      1,        -3.6,      1,        18.8,      1,        75.5,    145,         208,    145,         1.3,    145,       905.5,      1,    418534.3,    145
00:00:00 01/04/2025,        96.6,    145,"",    255,         9.6,    145,"",    255,"",    255,        72.6,    145,         196,    145,         1.6,    145,       906.3,    145,    495153.5,    145
00:00:00 01/05/2025,       101.0,    145,"",    255,        12.2,    145,"",    255,"",    255,        75.1,    145,         145,    145,         1.6,    145,       905.6,    145,    609280.6,    145
00:00:00 01/06/2025,        40.4,    145,"",    255,        19.4,    145,"",    255,"",    255,        71.0,    145,         241,    145,         1.8,    145,       910.6,    145,    705604.1,    145
00:00:00 01/07/2025,       104.2,    145,"",    255,        17.0,    145,"",    255,"",    255,        75.8,    145,         222,    145,         1.6,    145,       906.5,    145,    595386.0,    145
00:00:00 01/08/2025,       121.8,    145,"",    255,        18.0,    145,"",    255,"",    255,        78.3,    145,         219,    145,         1.5,    145,       908.4,    145,    553514.8,    145
00:00:00 01/09/2025,        98.2,    145,"",    255,        13.2,    145,"",    255,"",    255,        87.4,    145,         211,    145,         1.1,    145,       909.7,    145,    393376.8,    145
00:00:00 01/10/2025,        26.2,    145,"",    255,         7.7,    145,"",    255,"",    255,        85.4,    145,         211,    145,         1.1,    145,       907.8,    145,    322384.6,    145
00:00:00 01/11/2025,        50.8,    145,"",    255,         0.9,    145,"",    255,"",    255,        93.3,    145,         228,    145,         0.9,    145,       906.1,    145,    102284.1,    145
00:00:00 01/12/2025,        12.6,    145,"",    255,         0.0,    145,"",    255,"",    255,        93.1,    145,         239,    145,         0.8,    145,       909.9,    145,     50780.0,    145
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255

