"Time","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/01/2022,        16.6,      1,        16.6,      1,         3.9,      1,        -3.0,      1,        14.3,      1,        58.9,      1,           3,      1,         1.7,      1,       985.2,      1,    209455.6,      1
00:00:00 01/02/2022,        24.6,      1,        24.6,      1,         5.9,      1,        -2.7,      1,        17.1,      1,        58.0,      1,           7,      1,         2.1,      1,       982.4,      1,    278941.5,      1
00:00:00 01/03/2022,         0.2,    140,         3.2,    140,         8.4,      1,        -1.6,      1,        23.0,      1,        51.2,      1,           9,      1,         2.1,      1,       986.0,      1,    470677.0,      1
00:00:00 01/04/2022,        53.0,      1,        49.3,    140,        12.1,      1,         2.4,      1,        25.5,      1,        60.9,      1,         356,      1,         2.3,      1,       975.0,      1,    535315.5,      1
00:00:00 01/05/2022,        93.8,      1,        94.4,      1,        18.8,      1,         8.8,      1,        30.7,      1,        69.4,      1,          26,      1,         2.3,      1,       979.6,      1,    623533.3,      1
00:00:00 01/06/2022,        56.4,      1,        56.4,      1,        23.3,      1,        12.8,      1,        34.2,      1,        61.9,      1,           9,      1,         2.3,      1,       978.1,      1,    698659.7,      1
00:00:00 01/07/2022,        79.8,      1,        79.8,      1,        26.0,      1,        16.4,      1,        37.4,      1,        52.1,      1,         356,      1,         2.5,      1,       979.8,      1,    757619.5,      1
00:00:00 01/08/2022,       130.4,      1,       130.1,      1,        23.5,      1,        13.2,      1,        35.5,      1,        61.9,      1,          18,      1,         2.2,      1,       977.5,      1,    640185.0,      1
00:00:00 01/09/2022,        69.2,      1,        69.2,      1,        17.9,      1,         7.6,      1,        29.6,      1,        69.1,      1,           3,      1,         1.9,      1,       975.8,      1,    464133.5,      1
00:00:00 01/10/2022,        52.4,      1,        52.7,      1,        15.5,      1,         8.7,      1,        25.7,      1,        76.8,      1,          14,      1,         1.5,      1,       985.1,      1,    304750.9,      1
00:00:00 01/11/2022,        73.8,      1,        73.8,      1,         8.0,      1,         0.6,      1,        18.0,      1,        77.2,      1,         360,      1,         0.9,      1,       979.3,      1,    135373.8,      1
00:00:00 01/12/2022,        74.2,      1,        74.2,      1,         2.9,      1,        -4.8,      1,        11.0,      1,        82.7,      1,         358,      1,         0.9,      1,       979.9,      1,     84936.9,      1
00:00:00 01/01/2023,        44.2,      1,        44.2,      1,         3.9,      1,        -2.6,      1,        13.4,      1,        73.4,      1,           3,      1,         1.3,      1,       979.9,      1,    112411.3,      1
00:00:00 01/02/2023,         0.0,      1,         0.0,      1,         6.2,      1,        -4.2,      1,        18.6,      1,        59.3,      1,          18,      1,         1.6,      1,       987.3,      1,    203218.6,      1
00:00:00 01/03/2023,        20.0,      1,        19.8,      1,        10.4,      1,         0.9,      1,        21.3,      1,        59.7,      1,          18,      1,         2.0,      1,       975.2,      1,    340492.0,      1
00:00:00 01/04/2023,        65.2,      1,        65.4,      1,        12.2,      1,         1.7,      1,        23.6,      1,        56.9,      1,           2,      1,         2.0,      1,       975.6,      1,    479450.3,      1
00:00:00 01/05/2023,       177.2,      1,       177.2,      1,        16.7,      1,         9.1,      1,        28.3,    140,        71.2,      1,          19,      1,         2.1,      1,       978.2,      1,    503124.0,      1
00:00:00 01/06/2023,        21.8,      1,        21.8,      1,        22.2,      1,        13.9,      1,        34.1,      1,        61.1,      1,          69,      1,         2.3,      1,       977.5,      1,    650781.0,      1
00:00:00 01/07/2023,       113.4,      1,       113.8,      1,        23.2,      1,        13.1,      1,        35.5,      1,        67.5,      1,           2,      1,         1.9,      1,       977.4,      1,    634651.9,      1
00:00:00 01/08/2023,        78.6,      1,        78.1,      1,        23.7,      1,        13.4,      1,        37.1,      1,        63.1,      1,         356,      1,         1.8,      1,       976.4,      1,    597473.8,      1
