Time,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,
and,10,,10.5,,400,,400.55,,400.56,,430,,500,,515,,550,,750,,
Date,Pioggia (mm),,Pioggia (mm),,Temp. aria (�C),,Temp. aria (�C),,Temp. aria (�C),,Umid.relat. aria (%),,Dir. Vento (�),,Vel. Vento (m/s),,Pressione atm. (hPa),,Rad.Sol.Tot. (kJ/m2),,
,Total,Qual,Total,Qual,Mean,Qual,Min,Qual,Max,Qual,Mean,Qual,Mean,Qual,Mean,Qual,Mean,Qual,Total,Qual,
00:00:00 01/08/2022,138.4,1,134,1,20.3,1,9.9,1,33.6,1,76.6,145,355,145,1.1,145,954.4,1,581021.8,1,
00:00:00 01/09/2022,86,1,89.4,1,15.2,1,3.1,1,28.1,1,82.2,145,7,145,1.1,145,952,1,366148,1,
00:00:00 01/10/2022,64.8,1,65.8,1,13,1,5.1,1,24.8,1,86.8,145,341,145,0.9,145,960.8,1,248671.2,1,
00:00:00 01/11/2022,70.2,1,70.2,1,4.8,1,-3.6,1,16.5,1,92,145,345,145,0.6,145,954.3,1,124582.4,1,
00:00:00 01/12/2022,96.4,1,96.4,1,0.1,1,-8.8,1,9.4,1,97.8,145,350,145,0.3,145,954.3,1,68525.1,1,
00:00:00 01/01/2023,46,1,46,1,0.8,1,-8.4,1,11.9,1,90.8,145,340,145,0.5,145,954.3,1,103126.5,1,
00:00:00 01/02/2023,0,1,0,1,3.2,1,-8.3,1,18.3,1,73.3,145,287,145,1.1,145,961.7,1,199727.7,1,
00:00:00 01/03/2023,33.2,1,32.1,1,7.4,1,-3.5,1,19.8,1,72,145,280,145,1.2,145,950.4,1,331471.2,1,
00:00:00 01/04/2023,73.6,1,75.5,1,9.4,1,-1.7,1,22.6,140,71,145,305,145,1.3,145,951,1,414167.2,1,
00:00:00 01/05/2023,138.8,1,137.9,1,14.3,1,4.9,1,26.8,1,81.9,145,307,145,1,145,954.2,1,444460.3,1,
00:00:00 01/06/2023,132.4,1,132.3,1,19,1,0.6,140,32,1,73.4,145,305,145,1.1,145,954.3,1,625746.2,1,
00:00:00 01/07/2023,269,1,270.1,1,20.3,1,8.4,1,32.4,1,76.3,140,276,145,1.1,145,954.4,1,627974.9,1,
00:00:00 01/08/2023,165.6,1,164.6,1,20.2,1,6.9,1,34.3,1,75.3,140,261,145,1,145,953.6,1,540237.5,1,
00:00:00 01/09/2023,95.2,1,95.2,1,17.5,1,5.9,1,29.1,1,76.5,140,276,145,0.9,145,957.8,1,407425.9,1,
00:00:00 01/10/2023,264.2,1,263.9,1,13.2,1,1.4,1,26.9,1,86.7,145,280,145,0.7,145,953.5,1,229341.5,1,
00:00:00 01/11/2023,160.4,1,164,1,3.1,1,-5.6,1,15.5,1,87.4,145,235,145,0.6,145,948.2,1,129196.9,1,
00:00:00 01/12/2023,139,1,129.8,1,1.3,1,-5,1,15.7,140,92.1,145,257,145,0.6,145,954.6,1,76576.7,1,
00:00:00 01/01/2024,59.8,1,65.6,1,0.6,1,-7.4,1,13.2,1,88.8,145,275,145,0.6,145,956.4,1,119552.7,1,
00:00:00 01/02/2024,245,1,248,1,5,1,-2.4,1,18.9,1,85.2,145,260,145,0.8,145,953.8,1,156714.7,1,
00:00:00 01/03/2024,205.4,1,219.6,1,7.4,1,-2.7,1,19.9,1,82.4,145,262,145,1,145,949.7,1,253569,1,
00:00:00 01/04/2024,71,1,53.8,1,10.6,1,-1.2,1,27.7,1,71.8,145,268,145,1.2,145,953.7,1,417605.1,1,
00:00:00 01/05/2024,264.2,1,262.4,1,13.7,1,5.5,1,24.7,1,84.6,145,297,145,0.9,145,952.3,1,403934.2,1,
00:00:00 01/06/2024,178.2,1,180,1,18,1,7.1,1,31.3,1,81.6,145,279,145,1,145,953.3,1,529929.1,1,
00:00:00 01/07/2024,114.4,1,114.4,1,21.4,1,11.2,1,33.4,1,78.8,145,289,145,1,145,954.1,1,642099,1,
00:00:00 01/08/2024,29.8,1,29.8,1,22.1,1,13.1,1,34.1,1,76.3,145,263,145,1,145,954.7,1,555755.4,1,
00:00:00 01/09/2024,239.4,1,239.4,1,14.8,1,4.9,1,30.5,1,85.1,145,297,145,0.8,145,953.3,1,267359.2,1,
00:00:00 01/10/2024,279.8,1,279.9,1,11.9,1,4.8,1,21,1,93.7,145,288,145,0.6,145,957.3,1,160163.8,1,
00:00:00 01/11/2024,8.6,1,8.5,1,3.9,1,-5.9,1,19.7,1,86.9,145,219,145,0.7,145,959.6,1,153186.8,1,
00:00:00 01/12/2024,22.4,1,22.4,1,-0.2,1,-6.9,1,10.3,1,90.4,145,229,145,0.6,145,959.3,1,93751.8,1,
00:00:00 01/01/2025,132,1,132,1,1,1,-7,1,11.8,1,92.6,145,245,145,0.6,145,957.1,1,88382.9,1,
00:00:00 01/02/2025,52.2,1,54.6,1,3.5,1,-3.7,1,15.1,1,87.4,145,333,145,0.8,145,960.7,1,157513.4,1,
00:00:00 01/03/2025,128.6,1,126.1,1,7.1,1,-2.5,1,21.2,1,78.1,145,273,145,1.1,145,953.4,1,313613.5,1,
00:00:00 01/04/2025,156.6,1,156.6,1,11.6,1,-0.3,1,26.3,1,75.8,145,291,145,1.2,145,954,1,409856.3,1,
00:00:00 01/05/2025,153.8,1,153.8,1,14.1,1,4.8,1,27.5,1,79.2,145,312,145,1.1,145,953.1,1,528986.5,1,
00:00:00 01/06/2025,23,1,22.9,1,21.4,1,9.9,1,34.8,1,73.2,145,297,145,1.2,145,957.7,1,659460.4,1,
00:00:00 01/07/2025,241.4,1,238.8,1,18.9,1,6.1,1,34.2,1,80,145,233,145,1.1,145,953.4,1,537326.1,1,
00:00:00 01/08/2025,170.6,1,173.3,1,19.9,1,9.7,1,34.1,1,81.4,145,258,145,1,145,955.2,1,517574.1,1,
00:00:00 01/09/2025,143,1,143,1,15.6,1,6.4,1,28.3,1,87.2,145,269,145,0.8,145,956.9,1,342942.3,1,
00:00:00 01/10/2025,55.8,1,56.7,1,10.5,1,-0.5,1,22.1,1,85.7,145,322,145,0.7,145,955.3,1,256282.5,1,
00:00:00 01/11/2025,70.8,1,69.9,1,3.5,1,-6.7,1,15.5,140,92.8,145,244,145,0.6,145,953.7,1,127403.7,1,
00:00:00 01/12/2025,32.6,1,32.6,1,1.6,1,-6.9,1,11,140,96.9,145,257,145,0.5,145,957.9,1,79210.7,1,
00:00:00 01/01/2026,,255,,255,,255,,255,,255,,255,,255,,255,,255,,255,
00:00:00 01/02/2026,,255,,255,,255,,255,,255,,255,,255,,255,,255,,255,
