"Time","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/10/2022,       173.2,      1,       174.5,      1,         8.6,      1,         2.5,      1,        18.7,      1,        80.3,    145,         341,    145,         1.7,    145,       827.9,      1,    250168.0,    145
00:00:00 01/11/2022,        92.6,      1,        92.6,      1,         1.5,      1,        -5.3,      1,        14.3,      1,        80.9,    145,         347,    145,         1.5,    145,       819.0,      1,    136137.0,    145
00:00:00 01/12/2022,       118.4,      1,       118.4,      1,        -1.7,      1,       -14.6,    140,        10.9,      1,        84.7,    145,         347,    145,         1.5,    145,       817.3,      1,     91618.4,    145
00:00:00 01/01/2023,        61.8,      1,        61.8,      1,        -2.6,      1,       -14.7,    140,         8.8,    140,        72.8,    145,         342,    145,         1.6,    145,       817.1,      1,    110559.9,    145
00:00:00 01/02/2023,         2.0,      1,         2.0,      1,        -0.4,      1,       -14.9,      1,        12.2,    140,        61.9,    145,         353,    145,         1.9,    145,       824.2,      1,    218109.8,    145
00:00:00 01/03/2023,        57.6,    145,"",    255,         1.4,    145,"",    255,"",    255,        71.1,    145,         357,    145,         1.6,    145,       815.5,    145,    361960.3,    145
00:00:00 01/04/2023,        94.4,    145,"",    255,         2.1,    145,"",    255,"",    255,        77.9,    145,          13,    145,         1.4,    145,       816.4,    145,    445397.4,    145
00:00:00 01/05/2023,       254.2,    145,"",    255,         6.9,    145,"",    255,"",    255,        90.3,    145,         321,    145,         1.4,    145,       821.3,    145,    436460.1,    145
00:00:00 01/06/2023,       145.4,    145,"",    255,        12.0,    145,"",    255,"",    255,        84.2,    145,          20,    145,         1.4,    145,       823.5,    145,    570324.9,    145
00:00:00 01/07/2023,       344.8,    145,"",    255,        14.0,    145,"",    255,"",    255,        84.6,    145,           1,    145,         1.6,    145,       824.5,    145,    599028.5,    145
00:00:00 01/08/2023,       199.6,    145,"",    255,        14.2,    145,"",    255,"",    255,        80.3,    145,         352,    145,         1.4,    145,       824.0,    145,    528825.4,    145
00:00:00 01/09/2023,       130.8,    145,"",    255,        11.7,    145,"",    255,"",    255,        89.9,    145,         352,    145,         1.2,    145,       826.5,    145,    385299.0,    145
00:00:00 01/10/2023,       446.6,    145,"",    255,         8.4,    145,"",    255,"",    255,        82.9,    145,         354,    145,         0.7,    145,       821.2,    145,    244451.3,    145
00:00:00 01/11/2023,       202.0,    145,"",    255,         1.1,    145,"",    255,"",    255,        68.0,    145,         360,    145,         0.2,    145,       812.9,    145,    149958.2,    145
00:00:00 01/12/2023,       228.0,    145,"",    255,         0.7,    145,"",    255,"",    255,        70.1,    145,         350,    145,         1.5,    145,       818.2,    145,     95396.7,    145
