"Time","T0393","","T0393","","T0393","","T0393","","T0393",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/03/2024,       206.8,      1,       216.3,      1,         8.7,      1,        -2.1,      1,        20.2,      1
00:00:00 01/04/2024,        79.6,      1,        68.1,      1,        11.4,      1,        -1.2,      1,        27.8,      1
00:00:00 01/05/2024,       283.4,      1,       282.6,      1,        14.5,      1,         6.4,      1,        25.1,      1
00:00:00 01/06/2024,       212.8,      1,       213.6,      1,        18.8,      1,         7.3,      1,        31.2,      1
00:00:00 01/07/2024,       129.2,      1,       129.2,      1,        22.5,      1,        11.5,      1,        33.0,      1
00:00:00 01/08/2024,        80.6,      1,        80.6,      1,        22.7,      1,        13.6,      1,        33.7,      1
00:00:00 01/09/2024,       348.8,      1,       348.8,      1,        16.0,      1,         6.2,      1,        32.6,      1
00:00:00 01/10/2024,       369.6,      1,       369.6,      1,        12.9,      1,         5.1,      1,        21.8,      1
00:00:00 01/11/2024,         7.6,      1,         7.6,      1,         4.7,      1,        -4.7,      1,        19.2,      1
00:00:00 01/12/2024,        21.6,      1,        21.6,      1,         0.8,      1,        -6.5,      1,        10.7,      1
00:00:00 01/01/2025,       155.2,      1,       154.3,      1,"",    255,        -6.3,      1,"",    151
00:00:00 01/02/2025,        55.2,      1,        54.9,      1,         4.4,      1,        -3.6,      1,        15.6,      1
00:00:00 01/03/2025,       145.8,      1,       147.0,      1,         7.8,      1,        -2.6,      1,        20.8,      1
00:00:00 01/04/2025,       108.8,      1,       108.8,      1,        12.2,      1,         0.9,      1,        25.6,      1
00:00:00 01/05/2025,       174.6,      1,       174.6,      1,        14.8,      1,         5.8,      1,        28.2,      1
00:00:00 01/06/2025,        38.6,      1,        38.7,      1,        22.4,      1,        13.0,      1,        34.9,      1
00:00:00 01/07/2025,       285.4,      1,       285.3,      1,        19.9,      1,         7.3,      1,        34.1,    140
00:00:00 01/08/2025,       190.6,    145,"",    255,        20.5,    145,"",    255,"",    255
00:00:00 01/09/2025,       171.2,    145,"",    255,        16.5,    145,"",    255,"",    255
00:00:00 01/10/2025,        75.2,    145,"",    255,        11.4,    145,"",    255,"",    255
00:00:00 01/11/2025,       128.2,    145,"",    255,         5.1,    145,"",    255,"",    255
00:00:00 01/12/2025,        26.8,    145,"",    255,         2.8,    145,"",    255,"",    255
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255

